"participant_id","comments","stimulus_id","n","utterance","response"
"participant2","","S8-202",0.53,"C > A",0
"participant2","","S34-806",2.51,"A",0.243027888446215
"participant2","","S34-806",2.51,"C",0.195219123505976
"participant2","","S34-806",2.51,"A > C",0.310756972111554
"participant2","","S34-806",2.51,"C > A",0.250996015936255
"participant2","","S89-1642",3.68,"A",0.252717391304348
"participant2","","S89-1642",3.68,"C",0.271739130434783
"participant2","","S89-1642",3.68,"A > C",0.217391304347826
"participant2","","S89-1642",3.68,"C > A",0.258152173913043
"participant2","","S12-203",2.83,"A",0.342756183745583
"participant2","","S12-203",2.83,"C",0.296819787985866
"participant2","","S12-203",2.83,"A > C",0.134275618374558
"participant2","","S12-203",2.83,"C > A",0.226148409893993
"participant2","","S20-468",3.29,"A",0.303951367781155
"participant2","","S20-468",3.29,"C",0.303951367781155
"participant2","","S20-468",3.29,"A > C",0.088145896656535
"participant2","","S20-468",3.29,"C > A",0.303951367781155
"participant2","","S57-1007",1,"A",0
"participant2","","S57-1007",1,"C",1
"participant2","","S57-1007",1,"A > C",0
"participant2","","S57-1007",1,"C > A",0
"participant3","","S42-806",2.22,"A",0.279279279279279
"participant3","","S42-806",2.22,"C",0.175675675675676
"participant3","","S42-806",2.22,"A > C",0.184684684684685
"participant3","","S42-806",2.22,"C > A",0.36036036036036
"participant3","","S44-806",1.97,"A",0.33502538071066
"participant3","","S44-806",1.97,"C",0.137055837563452
"participant3","","S44-806",1.97,"A > C",0.16751269035533
"participant3","","S44-806",1.97,"C > A",0.360406091370558
"participant3","","S34-806",1.3,"A",0.3
"participant3","","S34-806",1.3,"C",0.215384615384615
"participant3","","S34-806",1.3,"A > C",0.215384615384615
"participant3","","S34-806",1.3,"C > A",0.269230769230769
"participant3","","S32-806",1.63,"A",0.226993865030675
"participant3","","S32-806",1.63,"C",0.257668711656442
"participant3","","S32-806",1.63,"A > C",0.276073619631902
"participant3","","S32-806",1.63,"C > A",0.239263803680982
"participant3","","S7-130-dep",2.26,"A",0.29646017699115
"participant3","","S7-130-dep",2.26,"C",0.243362831858407
"participant3","","S7-130-dep",2.26,"A > C",0.168141592920354
"participant3","","S7-130-dep",2.26,"C > A",0.292035398230089
"participant3","","S7-130",2.61,"A",0.275862068965517
"participant3","","S7-130",2.61,"C",0.222222222222222
"participant3","","S7-130",2.61,"A > C",0.295019157088123
"participant3","","S7-130",2.61,"C > A",0.206896551724138
"participant3","","S59-1007",2.19,"A",0.214611872146119
"participant3","","S59-1007",2.19,"C",0.305936073059361
"participant3","","S59-1007",2.19,"A > C",0.296803652968037
"participant3","","S59-1007",2.19,"C > A",0.182648401826484
"participant3","","S1-121",2.46,"A",0.317073170731707
"participant3","","S1-121",2.46,"C",0.288617886178862
"participant3","","S1-121",2.46,"A > C",0.166666666666667
"participant3","","S1-121",2.46,"C > A",0.227642276422764
"participant3","","S20-468",2.5,"A",0.296
"participant3","","S20-468",2.5,"C",0.216
"participant3","","S20-468",2.5,"A > C",0.256
"participant3","","S20-468",2.5,"C > A",0.232
"participant3","","S57-1007",2.15,"A",0.311627906976744
"participant3","","S57-1007",2.15,"C",0.274418604651163
"participant3","","S57-1007",2.15,"A > C",0.167441860465116
"participant3","","S57-1007",2.15,"C > A",0.246511627906977
"participant3","","S83-1609",2.36,"A",0.224576271186441
"participant3","","S83-1609",2.36,"C",0.313559322033898
"participant3","","S83-1609",2.36,"A > C",0.233050847457627
"participant3","","S83-1609",2.36,"C > A",0.228813559322034
"participant3","","S15-443",2.18,"A",0.31651376146789
"participant3","","S15-443",2.18,"C",0.252293577981651
"participant3","","S15-443",2.18,"A > C",0.18348623853211
"participant3","","S15-443",2.18,"C > A",0.247706422018349
"participant3","","S10-203",1.95,"A",0.374358974358974
"participant3","","S10-203",1.95,"C",0.21025641025641
"participant3","","S10-203",1.95,"A > C",0.123076923076923
"participant3","","S10-203",1.95,"C > A",0.292307692307692
"participant3","","S12-203",1.87,"A",0.379679144385027
"participant3","","S12-203",1.87,"C",0.224598930481283
"participant3","","S12-203",1.87,"A > C",0.197860962566845
"participant3","","S12-203",1.87,"C > A",0.197860962566845
"participant3","","S89-1642-dep",2.25,"A",0.306666666666667
"participant3","","S89-1642-dep",2.25,"C",0.253333333333333
"participant3","","S89-1642-dep",2.25,"A > C",0.177777777777778
"participant3","","S89-1642-dep",2.25,"C > A",0.262222222222222
"participant3","","S54-806",2.26,"A",0.216814159292035
