"participant_id","stimulus_id","utterance","response"
"participant13","S20-468","A",1
"participant13","S20-468","A > C",0.76
"participant13","S20-468","C",0.89
"participant13","S20-468","C > A",0.78
"participant13","S22-468","A",1
"participant13","S22-468","A > C",1
"participant13","S22-468","C",1
"participant13","S22-468","C > A",0.99
"participant13","S30-805","A",0.3
"participant13","S30-805","A > C",0.6
"participant13","S30-805","C",0.17
"participant13","S30-805","C > A",0.56
"participant13","S30-805-dep","A",0.68
"participant13","S30-805-dep","A > C",0.15
"participant13","S30-805-dep","C",0
"participant13","S30-805-dep","C > A",0.16
"participant13","S32-806","A",0.62
"participant13","S32-806","A > C",0.82
"participant13","S32-806","C",0.63
"participant13","S32-806","C > A",0.77
"participant13","S34-806","A",0.56
"participant13","S34-806","A > C",0.25
"participant13","S34-806","C",0.7
"participant13","S34-806","C > A",1
"participant13","S42-806","A",0.5
"participant13","S42-806","A > C",0.8
"participant13","S42-806","C",0.54
"participant13","S42-806","C > A",0.85
"participant13","S44-806","A",1
"participant13","S44-806","A > C",0.25
"participant13","S44-806","C",0.13
"participant13","S44-806","C > A",0.97
"participant13","S54-806","A",0.23
"participant13","S54-806","A > C",0.87
"participant13","S54-806","C",0.64
"participant13","S54-806","C > A",0.15
"participant13","S55-1006","A",0.57
"participant13","S55-1006","A > C",0.61
"participant13","S55-1006","C",1
"participant13","S55-1006","C > A",0.63
"participant13","S57-1007","A",0.62
"participant13","S57-1007","A > C",1
"participant13","S57-1007","C",1
"participant13","S57-1007","C > A",0.43
"participant13","S59-1007","A",0.23
"participant13","S59-1007","A > C",0.97
"participant13","S59-1007","C",0.96
"participant13","S59-1007","C > A",0.25
"participant13","S63-1039","A",0
"participant13","S63-1039","A > C",0.55
"participant13","S63-1039","C",0.53
"participant13","S63-1039","C > A",0.59
"participant13","S7-130","A",1
"participant13","S7-130","A > C",1
"participant13","S7-130","C",1
"participant13","S7-130","C > A",1
"participant13","S7-130-dep","A",1
"participant13","S7-130-dep","A > C",1
